 -0.694324424477D+01 -0.731692693474D+00      0.153458      0.001387  16  15   4   3
 -0.644006331011D+01 -0.705723389578D+00      0.200557      0.002263  16  15   6   5
 -0.601703965384D+01 -0.679988881649D+00      0.247239      0.003409  16  15   8   7
 -0.561061439381D+01 -0.653628237630D+00      0.295534      0.005050  16  15  10   9
 -0.516373232820D+01 -0.625148431221D+00      0.348370      0.007780  16  15  12  11
 -0.455180826671D+01 -0.591084259071D+00      0.409313      0.014096  16  15  14  13
 -0.470509286449D+01 -0.611528442128D+00      0.357277      0.012222  16  15  16  15
 -0.894902451214D+01 -0.800972730588D+00      0.026166      0.000193  16  15   0   1
 -0.765954421625D+01 -0.831267798603D+00      0.029963      0.000713  16  15   2   3
 -0.716606378741D+01 -0.863342933104D+00      0.089081      0.001188  16  15   4   5
 -0.686250218075D+01 -0.897323630642D+00      0.150760      0.001637  16  15   6   7
 -0.664511241358D+01 -0.933306947360D+00      0.214322      0.002073  16  15   8   9
 -0.647640875764D+01 -0.971396055664D+00      0.278892      0.002503  16  15  10  11
 -0.633896433617D+01 -0.101177608186D+01      0.343467      0.002931  16  15  12  13
 -0.622407270711D+01 -0.105496508650D+01      0.407049      0.003362  16  15  14  15
 -0.613986571986D+01 -0.110822669510D+01      0.469739      0.003758  16  15  16  17
 -0.842715392490D+01 -0.771348725340D+00      0.079516      0.000321  17  16   1   0
 -0.737459102906D+01 -0.743139321051D+00      0.129252      0.000906  17  16   3   2
 -0.679856430900D+01 -0.715937440772D+00      0.176866      0.001590  17  16   5   4
 -0.636065106669D+01 -0.689311618085D+00      0.223348      0.002430  17  16   7   6
 -0.597390479489D+01 -0.662643763220D+00      0.270272      0.003528  17  16   9   8
 -0.559125682976D+01 -0.634991484830D+00      0.319996      0.005100  17  16  11  10
 -0.516184779271D+01 -0.604715243586D+00      0.376032      0.007713  17  16  13  12
 -0.456424183759D+01 -0.568018032341D+00      0.443263      0.013758  17  16  15  14
 -0.471908723242D+01 -0.590119751713D+00      0.386380      0.011921  17  16  17  16
 -0.817857172200D+01 -0.816198391740D+00      0.000654      0.000421  17  16   1   2
 -0.746237223391D+01 -0.848076950364D+00      0.056551      0.000876  17  16   3   4
 -0.708030351653D+01 -0.881683527343D+00      0.115332      0.001306  17  16   5   6
 -0.682175362601D+01 -0.917089558157D+00      0.175802      0.001723  17  16   7   8
 -0.662696895651D+01 -0.954341446515D+00      0.237117      0.002134  17  16   9  10
 -0.647070545967D+01 -0.993493541886D+00      0.298283      0.002545  17  16  11  12
 -0.634023836163D+01 -0.103468003363D+01      0.358209      0.002962  17  16  13  14
 -0.622894100537D+01 -0.107835091092D+01      0.415785      0.003385  17  16  15  16
